song_name,artist_name,artist_pop,album_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Memories,Coopex,60,Memories,0.745,0.862,-4.18,0.116,0.335,0.000623,0.102,0.738,123.979,138453
Ameno Amapiano Remix (You Wanna Bamba),Goya Menor,52,Ameno Amapiano Remix (You Wanna Bamba),0.807,0.898,-5.837,0.0393,0.188,0.000395,0.0824,0.743,112.998,227101
Say My Name,Why Not,36,Say My Name,0.773,0.74,-5.052,0.0315,0.00779,2.48e-05,0.15,0.659,125.981,160026
Woman,Doja Cat,88,Planet Her,0.824,0.764,-4.175,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627
Leave The Door Open,Bruno Mars,86,Leave The Door Open,0.586,0.616,-7.964,0.0324,0.182,0,0.0927,0.719,148.088,242096
I AM WOMAN,Emmy Meli,59,I AM WOMAN,0.646,0.471,-9.247,0.157,0.122,0,0.125,0.455,170.084,232813
Paint It Black,Dame Dame,48,Paint It Black,0.69,0.741,-7.405,0.0363,0.0433,0.00429,0.0975,0.0774,125.985,146190
Vacation,Dirty Heads,65,Vacation,0.736,0.751,-5.588,0.034,0.0381,0,0.105,0.839,150.064,209722
Free Falling Love,Lucas Estrada,63,Free Falling Love,0.771,0.932,-3.727,0.0424,0.311,0.000158,0.116,0.139,120.012,155000
Ocean Drive,Harddope,49,Ocean Drive,0.645,0.868,-6.861,0.0828,0.0661,0.00471,0.241,0.51,120.009,197000
Kiss Me More (feat. SZA),Doja Cat,88,Kiss Me More (feat. SZA),0.762,0.701,-3.541,0.0286,0.235,0.000158,0.123,0.742,110.968,208867
Beggin',Måneskin,78,Chosen,0.714,0.8,-4.808,0.0504,0.127,0,0.359,0.589,134.002,211560
The Hills,Farux,45,The Hills,0.656,0.778,-6.838,0.265,0.4,0,0.533,0.736,125.916,129717
Young Folks,Jungle Jonsson,40,Young Folks,0.75,0.731,-7.367,0.0379,0.068,3.63e-05,0.184,0.335,134.977,174222
good 4 u,Olivia Rodrigo,85,SOUR,0.563,0.664,-5.044,0.154,0.335,0,0.0849,0.688,166.928,178147
Complicated,Nito-Onna,61,Complicated,0.724,0.692,-4.997,0.109,0.074,0,0.0937,0.419,134.088,152126
Jalebi Baby (Tesher x Jason Derulo),Tesher,61,Jalebi Baby (Tesher x Jason Derulo),0.691,0.829,-7.179,0.0412,0.0289,0,0.254,0.866,93.059,169154
You Don't Know Me,Dame Dame,48,You Don't Know Me,0.701,0.836,-6.521,0.275,0.0304,0.000143,0.635,0.373,124.953,157320
Talking to the Moon,Bruno Mars,86,Doo-Wops & Hooligans,0.498,0.59,-4.721,0.032,0.511,0,0.107,0.0784,145.867,217867
Say It Right,MØRFI,39,Say It Right,0.764,0.793,-6.506,0.0709,0.0132,0.00098,0.319,0.127,124.084,129677
Astronaut In The Ocean,Masked Wolf,68,Astronaut In The Ocean,0.778,0.695,-6.865,0.0913,0.175,0,0.15,0.472,149.996,132780
Creep,Naeleck,61,Creep,0.615,0.829,-4.567,0.0421,0.0555,0.00156,0.426,0.0754,124.013,203226
Counting Stars,Farux,45,Counting Stars,0.659,0.721,-6.877,0.264,0.501,0,0.109,0.454,124.791,144935
Buss It,Erica Banks,54,Buss It,0.918,0.434,-9.541,0.173,0.569,3.14e-06,0.123,0.75,109.997,188735
When You Were Young,Amero,46,When You Were Young,0.806,0.845,-4.753,0.19,0.0825,0,0.26,0.508,125.998,128095
Apologize,Farux,45,Apologize,0.677,0.71,-7.108,0.0552,0.532,0,0.337,0.325,126.109,129410
Beauty And A Beat,Glamii,38,Beauty And A Beat,0.746,0.866,-3.113,0.148,0.124,1.26e-05,0.596,0.519,128.054,138750
Why,Padé,39,Why (with WLHELMINA),0.61,0.902,-4.351,0.0764,0.133,0.000333,0.119,0.478,186.049,154839
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,68,Better Days (NEIKED x Mae Muller x Polo G),0.717,0.671,-5.077,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,160657
The Motto,Tiësto,82,The Motto,0.754,0.763,-4.627,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,164819
Need to Know,Doja Cat,88,Planet Her,0.664,0.609,-6.509,0.0707,0.304,0,0.0926,0.194,130.041,210560
Whatever You Like,DLAY,34,Whatever You Like,0.687,0.679,-9.426,0.0432,0.109,0.000986,0.104,0.614,123.976,144677
MONEY,LISA,70,LALISA,0.831,0.554,-9.998,0.218,0.161,6.12e-05,0.152,0.396,140.026,168228
Freaks,Surf Curse,69,Freaks,0.345,0.941,-9.918,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,147062
Heart of Glass,Nito-Onna,61,Heart of Glass,0.75,0.838,-5.132,0.124,0.194,7.99e-06,0.313,0.397,123.89,144245
Blinding Lights,The Weeknd,93,After Hours,0.514,0.73,-5.934,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040
Thot Shit,Megan Thee Stallion,82,Thot Shit,0.95,0.693,-3.424,0.0898,0.0133,0,0.173,0.891,130.02,184635
Mr. Saxobeat,Nito-Onna,61,Mr. Saxobeat,0.696,0.899,-5.812,0.144,0.131,0.00141,0.114,0.517,123.901,159927
Moves Like Jagger,Timemachine,35,Moves Like Jagger,0.552,0.831,-7.228,0.194,0.0905,2.6e-05,0.44,0.733,127.851,199687
Pumped Up Kicks,Madism,66,Pumped Up Kicks,0.669,0.687,-4.753,0.043,0.152,1.6e-05,0.308,0.386,123.903,145161
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,85,JORDI (Deluxe),0.713,0.676,-5.483,0.027,0.0377,0,0.154,0.721,99.048,227395
RAPSTAR,Polo G,83,RAPSTAR,0.789,0.536,-6.862,0.242,0.41,0,0.129,0.437,81.039,165926
Lies,Dame Dame,48,Lies,0.823,0.771,-6.055,0.0365,0.627,0.00101,0.271,0.658,122.015,156885
Ready 4 Luv - TMLH Summer Mix,CAZZETTE,50,Ready 4 Luv (TMLH Summer Mix),0.679,0.869,-4.701,0.138,0.00969,1.32e-05,0.278,0.41,125.09,170040
Ain't Shit,Doja Cat,88,Planet Her,0.855,0.488,-4.601,0.208,0.506,0,0.347,0.619,124.097,174253
